Datetime,Tweet
2021-10-27 11:04:06+00:00,"🗨️ Replies: 7
📎 Quoteds: 0
🔃 Retweets: 0
❤️ Likes: 2

📊 Score: 23 https://t.co/1fs5pEvAPC"
2021-10-27 11:04:05+00:00,"🗨️ Replies: 6
📎 Quoteds: 1
🔃 Retweets: 1
❤️ Likes: 13

📊 Score: 34 https://t.co/sRwJ0wvwNq"
2021-10-27 11:04:05+00:00,"🗨️ Replies: 9
📎 Quoteds: 5
🔃 Retweets: 6
❤️ Likes: 68

📊 Score: 111 https://t.co/xjrCsAh1cI"
2021-10-27 11:04:05+00:00,"🗨️ Replies: 21
📎 Quoteds: 9
🔃 Retweets: 3
❤️ Likes: 35

📊 Score: 119 https://t.co/id9W91TO54"
2021-10-27 11:00:00+00:00,Ckckck gimana tuch anak pertambangan gajinya puluhan digit ya itb! https://t.co/6y69RQAK1b
2021-10-27 10:45:00+00:00,"itb! lagi pusing dan banyak pikiran banget, minggu ini banyak UTS dan adik lagi sakit :("
2021-10-27 10:30:00+00:00,itb! Ada yang punya tips buat bawa laptop pake motor kalo jauh gak ya? Bawaan aku banyak soalnya
2021-10-27 10:20:00+00:00,itb! diketawain keluarga sendiri tuh ga enak ya :)
2021-10-27 09:05:00+00:00,itb! disini ada yang pernah les vokal di Purwa Caraka? terutama dom bandung. boleh banget rep yaa. sender mau tanya2 testimoni TIA!
2021-10-27 08:30:00+00:00,itb! pengen martabak tapi cuma 2-3 potong aja tapi gada teman sharing di kosan 😢
2021-10-27 02:50:00+00:00,itb! ada yang make nootropics ga? xixi
2021-10-27 01:45:00+00:00,itb! helo guyss yuk join buat nambah insight tentang inovasi di bidang kesehatan dan pengembangan vaksin. yuuk join🤩🥳 https://t.co/XDsoyBphyh
2021-10-27 00:15:00+00:00,itb! ok jadi ini pertanyaan bodoh. Jadi aku gak punya pemanas air. Aku butuh cafein. Kalau aku bubuk kopi masukin ke air temperatur ruangan trus minum gitu aja bakal cukup ga buat begadang wkkwwkkwkw
2021-10-26 20:40:00+00:00,seperti orang2. Apa hidup saya sial? Hanya jadi perundang yang gagal dengan kehidupan?
